Set,Attack,Budget,Seed,Accuracy,Agreement
SET-A1,BLACKBOX_DISSECTOR,1000,0,0.335,0.3369
SET-A1,BLACKBOX_DISSECTOR,10000,0,0.8887,0.8924
SET-A1,BLACKBOX_DISSECTOR,20000,0,0.9431,0.9455
SET-A1,BLACKBOX_RIPPER,1000,0,0.101,0.1008
SET-A1,BLACKBOX_RIPPER,10000,0,0.101,0.1008
SET-A1,BLACKBOX_RIPPER,20000,0,0.101,0.1008
SET-A1,BLACKBOX_RIPPER,50000,0,0.1277,0.1276
SET-A1,BLACKBOX_RIPPER,100000,0,0.1729,0.1731
SET-A1,COPYCATCNN,1000,0,0.2825,0.2842
SET-A1,COPYCATCNN,10000,0,0.9006,0.9049
SET-A1,COPYCATCNN,20000,0,0.9569,0.9601
SET-A1,DFME,1000,0,0.1028,0.1041
SET-A1,DFME,10000,0,0.6193,0.6222
SET-A1,DFME,20000,0,0.7336,0.7369
SET-A1,DFME,50000,0,0.8602,0.8631
SET-A1,DFME,100000,0,0.9287,0.933
SET-A1,DFMS,1000,0,0.0982,0.0986
SET-A1,DFMS,10000,0,0.0982,0.0986
SET-A1,DFMS,20000,0,0.0982,0.0986
SET-A1,DFMS,50000,0,0.0983,0.0987
SET-A1,DFMS,100000,0,0.0972,0.0977
SET-A1,ES,1000,0,0.0974,0.0961
SET-A1,ES,10000,0,0.2016,0.2005
SET-A1,ES,20000,0,0.2234,0.222
SET-A1,ES,50000,0,0.2008,0.1993
SET-A1,ES,100000,0,0.1689,0.168
SET-A1,GAME,1000,0,0.0982,0.0986
SET-A1,GAME,10000,0,0.3179,0.3171
SET-A1,GAME,20000,0,0.4169,0.4163
SET-A1,GAME,50000,0,0.3578,0.3568
SET-A1,GAME,100000,0,0.5921,0.5924
SET-A1,KNOCKOFF_NETS,1000,0,0.2785,0.2804
SET-A1,KNOCKOFF_NETS,10000,0,0.9147,0.9191
SET-A1,KNOCKOFF_NETS,20000,0,0.9594,0.9633
SET-A1,MAZE,1000,0,0.0974,0.0961
SET-A1,MAZE,10000,0,0.2212,0.2199
SET-A1,MAZE,20000,0,0.1499,0.1481
SET-A1,MAZE,50000,0,0.3235,0.3234
SET-A1,MAZE,100000,0,0.4074,0.4088
SET-A1,RANDOM,1000,0,0.2325,0.2342
SET-A1,RANDOM,10000,0,0.9256,0.9284
SET-A1,RANDOM,20000,0,0.9575,0.9606
